# SCAN_PARAMETERS
# scan_start: 2025-08-08T23:52:07.557284
# download_threshold: 10000, max_file_size_gb: 5.0, rate_limit_delay: 1.5, max_workers: 4
# target_extensions: .bin,.caffemodel,.coreml,.dlc,.ggjt,.ggmf,.ggml,.gguf,.h5,.keras,.llamafile,.mar,.mlmodel,.onnx,.pb,.pkl,.pt,.pt2,.pth,.ptl,.safetensors,.tflite
# output_format: error log
# END_PARAMETERS
repo_id,filename,error_type,reason,timestamp
pyannote/segmentation-3.0,pytorch_model.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:52:20.480125
meta-llama/Llama-3.1-8B-Instruct,model-00001-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:52:44.919952
meta-llama/Llama-3.1-8B-Instruct,model-00002-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:52:46.605307
meta-llama/Llama-3.1-8B-Instruct,model-00003-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:52:48.269324
meta-llama/Llama-3.1-8B-Instruct,model-00004-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:52:49.926246
meta-llama/Llama-3.1-8B-Instruct,original/consolidated.00.pth,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:52:51.584352
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_flf2v_720p_14B_fp16.safetensors,file_too_large,File size 30.5GB exceeds limit,2025-08-08T23:53:41.422333
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_flf2v_720p_14B_fp8_e4m3fn.safetensors,file_too_large,File size 15.3GB exceeds limit,2025-08-08T23:53:44.232242
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_fun_camera_v1.1_14B_bf16.safetensors,file_too_large,File size 31.5GB exceeds limit,2025-08-08T23:53:47.369733
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_480p_14B_bf16.safetensors,file_too_large,File size 30.5GB exceeds limit,2025-08-08T23:53:52.126349
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_480p_14B_fp16.safetensors,file_too_large,File size 30.5GB exceeds limit,2025-08-08T23:53:53.673194
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_480p_14B_fp8_e4m3fn.safetensors,file_too_large,File size 15.3GB exceeds limit,2025-08-08T23:53:55.235771
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_480p_14B_fp8_scaled.safetensors,file_too_large,File size 15.3GB exceeds limit,2025-08-08T23:53:56.781602
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_720p_14B_bf16.safetensors,file_too_large,File size 30.5GB exceeds limit,2025-08-08T23:53:58.355514
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_720p_14B_fp16.safetensors,file_too_large,File size 30.5GB exceeds limit,2025-08-08T23:53:59.947985
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_720p_14B_fp8_e4m3fn.safetensors,file_too_large,File size 15.3GB exceeds limit,2025-08-08T23:54:01.613404
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_i2v_720p_14B_fp8_scaled.safetensors,file_too_large,File size 15.3GB exceeds limit,2025-08-08T23:54:03.153119
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_magref_14B_fp16.safetensors,file_too_large,File size 30.5GB exceeds limit,2025-08-08T23:54:04.684687
pyannote/segmentation,pytorch_model.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:54:06.559636
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_t2v_14B_bf16.safetensors,file_too_large,File size 26.6GB exceeds limit,2025-08-08T23:54:09.440492
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_t2v_14B_fp16.safetensors,file_too_large,File size 26.6GB exceeds limit,2025-08-08T23:54:10.986339
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_t2v_14B_fp8_e4m3fn.safetensors,file_too_large,File size 13.3GB exceeds limit,2025-08-08T23:54:12.542910
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_t2v_14B_fp8_scaled.safetensors,file_too_large,File size 13.3GB exceeds limit,2025-08-08T23:54:15.328909
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/diffusion_models/wan2.1_vace_14B_fp16.safetensors,file_too_large,File size 32.3GB exceeds limit,2025-08-08T23:54:19.957059
meta-llama/Llama-3.2-1B-Instruct,model.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:54:20.954374
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/text_encoders/umt5_xxl_fp16.safetensors,file_too_large,File size 10.6GB exceeds limit,2025-08-08T23:54:21.490740
meta-llama/Llama-3.2-1B-Instruct,original/consolidated.00.pth,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:54:22.703452
Comfy-Org/Wan_2.1_ComfyUI_repackaged,split_files/text_encoders/umt5_xxl_fp8_e4m3fn_scaled.safetensors,file_too_large,File size 6.3GB exceeds limit,2025-08-08T23:54:23.068179
ggml-org/models-moved,phi-2/ggml-model-f16.gguf,file_too_large,File size 5.2GB exceeds limit,2025-08-08T23:54:32.590365
google/gemma-3-1b-it,model.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:54:46.733905
meta-llama/Llama-3.2-1B,model.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:55:10.125226
meta-llama/Llama-3.2-1B,original/consolidated.00.pth,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:55:11.798028
context-labs/meta-llama-Llama-3.2-3B-Instruct-FP16,original/consolidated.00.pth,file_too_large,File size 6.0GB exceeds limit,2025-08-08T23:55:15.145198
stabilityai/stable-diffusion-xl-base-1.0,sd_xl_base_1.0.safetensors,file_too_large,File size 6.5GB exceeds limit,2025-08-08T23:55:18.999074
stabilityai/stable-diffusion-xl-base-1.0,sd_xl_base_1.0_0.9vae.safetensors,file_too_large,File size 6.5GB exceeds limit,2025-08-08T23:55:20.566130
